wavelength,species,ep,gf,Sun
4389.245,26,0.052,-4.583,73.2
4445.471,26,0.087,-5.441,40.4
4602.001,26,1.608,-3.154,72.3
4690.14,26,3.69,-1.61,59.5
4788.76,26,3.24,-1.73,67.7
4799.41,26,3.64,-2.13,36
4808.15,26,3.25,-2.69,27.6
4950.1,26,3.42,-1.56,74.6
4994.129,26,0.915,-3.08,102
5141.74,26,2.42,-2.23,90.6
5198.71,26,2.22,-2.14,99.2
5225.525,26,0.11,-4.789,74.9
5242.49,26,3.63,-0.99,87.7
5247.05,26,0.087,-4.961,67.7
5250.208,26,0.121,-4.938,66.8
5295.31,26,4.42,-1.59,30.3
5322.04,26,2.28,-2.89,62.3
5373.71,26,4.47,-0.74,63.6
5379.57,26,3.69,-1.51,62.4
5386.33,26,4.15,-1.67,33
5441.34,26,4.31,-1.63,32.3
5466.396,26,4.371,-0.565,78.8
5466.987,26,3.573,-2.23,34.3
5491.832,26,4.186,-2.188,14
5554.89,26,4.55,-0.36,98.8
5560.21,26,4.43,-1.09,53.4
5618.63,26,4.21,-1.27,51.3
5638.26,26,4.22,-0.77,78.5
5651.469,26,4.473,-1.75,19.2
5679.023,26,4.652,-0.75,60
5701.544,26,2.559,-2.163,86.4
5705.464,26,4.301,-1.355,39.4
5731.76,26,4.26,-1.2,58.7
5775.08,26,4.22,-1.3,60.3
5778.453,26,2.588,-3.44,22.9
5784.658,26,3.396,-2.532,27.7
5793.914,26,4.22,-1.619,35
5806.73,26,4.61,-0.95,55.4
5852.22,26,4.55,-1.23,41.3
5855.076,26,4.608,-1.478,23.3
5930.18,26,4.65,-0.17,89.6
5934.65,26,3.93,-1.07,77.6
5956.694,26,0.859,-4.552,52.6
5987.065,26,4.795,-0.212,70.9
6003.01,26,3.88,-1.06,85.7
6005.541,26,2.588,-3.43,22.7
6027.05,26,4.076,-1.09,65.1
6056,26,4.73,-0.4,74.6
6065.482,26,2.609,-1.53,119.5
6079.01,26,4.65,-1.02,47.5
6082.71,26,2.22,-3.57,36.1
6093.644,26,4.607,-1.3,31.5
6096.665,26,3.984,-1.81,38.8
6151.618,26,2.176,-3.282,51.1
6165.36,26,4.143,-1.46,45.7
6173.335,26,2.223,-2.88,69.4
6187.99,26,3.94,-1.62,48.9
6200.313,26,2.609,-2.416,74.4
6213.43,26,2.223,-2.52,83.9
6219.28,26,2.2,-2.43,90.9
6226.736,26,3.883,-2.1,30.2
6232.64,26,3.65,-1.22,85.9
6240.646,26,2.223,-3.287,50.1
6265.134,26,2.176,-2.547,87.5
6271.279,26,3.332,-2.703,25.4
6322.69,26,2.59,-2.43,77.5
6380.74,26,4.19,-1.32,53.2
6392.539,26,2.279,-4.03,17.8
6430.846,26,2.176,-2.006,113.1
6498.939,26,0.958,-4.695,46.4
6593.871,26,2.433,-2.394,85.7
6597.56,26,4.8,-0.97,45.3
6625.022,26,1.011,-5.336,15.9
6703.567,26,2.759,-3.023,38.2
6705.102,26,4.607,-0.98,47.7
6710.319,26,1.485,-4.88,16.1
6713.745,26,4.795,-1.4,21.5
6725.357,26,4.103,-2.19,18.1
6726.667,26,4.607,-1.03,47.9
6733.151,26,4.638,-1.47,27.6
6739.522,26,1.557,-4.794,12.5
6750.152,26,2.424,-2.621,75.1
6793.259,26,4.076,-2.326,13.7
6806.845,26,2.727,-3.11,35.7
6810.263,26,4.607,-0.986,51.7
6837.006,26,4.593,-1.687,17.2
6839.83,26,2.559,-3.35,30.6
6843.66,26,4.55,-0.83,62.8
6858.15,26,4.61,-0.94,52.7
7583.79,26,3.02,-1.88,84.9
7723.21,26,2.28,-3.62,44.6
4491.4,26.1,2.856,-2.66,79.2
4508.29,26.1,2.856,-2.52,87.8
4576.333,26.1,2.844,-2.95,64.9
4620.513,26.1,2.828,-3.21,54.7
4993.34,26.1,2.81,-3.73,36.8
5197.577,26.1,3.231,-2.22,83.4
5234.624,26.1,3.221,-2.18,84.5
5264.804,26.1,3.23,-3.13,45.5
5325.55,26.1,3.22,-3.25,41.3
5414.072,26.1,3.221,-3.58,28
5425.257,26.1,3.2,-3.22,41.5
6084.09,26.1,3.2,-3.83,21.1
6149.24,26.1,3.89,-2.75,36.2
6247.55,26.1,3.89,-2.38,53.5
6369.462,26.1,2.891,-4.11,19.7
6416.92,26.1,3.89,-2.75,40.7
6432.676,26.1,2.891,-3.57,42.4
6456.383,26.1,3.9036,-2.05,65.3
7515.831,26.1,3.903,-3.39,14.4
